spN,sampleType,samples,algo,keys,collisions,stackingAvg,occupancyRate,occupancyRate_stddev
65536,rand-80,2400,crc32,2366,34,1,0.0287,0.119
65536,rand-80,2400,md5,2358,42,1,0.0356,0.1323
65536,rand-80,2400,sha1,2349,50,1,0.043,0.1487
65536,rand-80,2400,fake,2350,50,1,0.0426,0.1443
65536,rand-80,2400,ugly2,85,80,29,28,22
65536,rand-80,20000,crc32,17421,2374,1.1,0.2843,0.3879
65536,rand-80,20000,md5,17096,2615,1.1,0.3228,0.4211
65536,rand-80,20000,sha1,17346,2409,1.1,0.2919,0.3996
65536,rand-80,20000,fake,17197,2533,1.1,0.3103,0.4146
65536,rand-80,20000,ugly2,95,93,214,211,184
1048576,rand-80,100,crc32,100,0,0,0,0
1048576,rand-80,100,md5,100,0,0,0,0
1048576,rand-80,100,sha1,100,0,0,0,0
1048576,rand-80,100,fake,100,0,0,0,0
1048576,rand-80,100,ugly2,57,29,1.5,1.3,0.9688
1048576,rand-80,1000,crc32,998,2,1,0.004,0.0447
1048576,rand-80,1000,md5,998,2,1,0.004,0.0447
1048576,rand-80,1000,sha1,999,1,1,0.002,0.0316
1048576,rand-80,1000,fake,998,2,1,0.004,0.0447
1048576,rand-80,1000,ugly2,91,79,12,11,7.8
1048576,rand-80,3000,crc32,3000,0,0,0,0
1048576,rand-80,3000,md5,2994,6,1,0.004,0.0447
1048576,rand-80,3000,sha1,2995,5,1,0.0033,0.0408
1048576,rand-80,3000,fake,2997,3,1,0.002,0.0316
1048576,rand-80,3000,ugly2,97,89,33,31,25
1048576,rand-80,25000,crc32,24708,289,1,0.0235,0.1092
1048576,rand-80,25000,md5,24668,327,1,0.0267,0.117
1048576,rand-80,25000,sha1,24722,276,1,0.0224,0.1062
1048576,rand-80,25000,fake,24724,275,1,0.0223,0.1055
1048576,rand-80,25000,ugly2,112,107,233,223,206
1048576,rand-80,450000,crc32,370150,70360,1.1,0.4058,0.4745
1048576,rand-80,450000,md5,365841,73081,1.2,0.4298,0.4945
1048576,rand-80,450000,sha1,365828,72907,1.2,0.4294,0.4957
1048576,rand-80,450000,fake,365855,73004,1.2,0.4295,0.4949
1048576,rand-80,450000,ugly2,119,118,3813,3782,3746
16777216,rand-80,120,crc32,120,0,0,0,0
16777216,rand-80,120,md5,120,0,0,0,0
16777216,rand-80,120,sha1,120,0,0,0,0
16777216,rand-80,120,fake,120,0,0,0,0
16777216,rand-80,120,ugly2,63,29,2,1.4,1.3
16777216,rand-80,1200,crc32,1200,0,0,0,0
16777216,rand-80,1200,md5,1200,0,0,0,0
16777216,rand-80,1200,sha1,1200,0,0,0,0
16777216,rand-80,1200,fake,1200,0,0,0,0
16777216,rand-80,1200,ugly2,97,89,12,12,9.2
16777216,rand-80,3600,crc32,3600,0,0,0,0
